# region irank jrank data_tot data_tx data_rx nmsg_tx nmsg_rx
ipm_global 14 12 10248704 5124352 5124352 1102 1102
ipm_global 14 13 3816909748 3235165244 581744504 35968 31617
ipm_global 14 14 10600192 5300096 5300096 498 498
ipm_global 15 0 9370208 4685104 4685104 498 498
ipm_global 15 1 14545440 9795856 4749584 619 498
ipm_global 15 2 10021376 5010688 5010688 498 498
ipm_global 15 3 243253184 121626592 121626592 996 996
ipm_global 15 4 9499168 4749584 4749584 498 498
ipm_global 15 5 9632288 4816144 4816144 498 498
ipm_global 15 6 9462992 4731496 4731496 498 498
ipm_global 15 7 686472524 641778428 44694096 36160 3270
ipm_global 15 8 3008258344 55964928 2952293416 1120 35470
ipm_global 15 9 9462992 4731496 4731496 498 498
ipm_global 15 10 7300880 3650440 3650440 498 498
ipm_global 15 11 241382304 120691152 120691152 1124 1124
ipm_global 15 12 580578176 290289088 290289088 996 996
ipm_global 15 13 22098688 11049344 11049344 1102 1102
ipm_global 15 14 3818676728 3235981920 582694808 36118 31756
ipm_global 15 15 9370208 4685104 4685104 498 498
ipm_global 16 0 99354656 49677328 49677328 690 690
ipm_global 16 2 89300992 45596672 43704320 1012 979
ipm_global 16 8 663869076 633382948 30486128 34972 1873
ipm_global 16 15 242303040 0 242303040 0 29988
ipm_global 16 16 9370208 4685104 4685104 498 498
ipm_global 17 1 101675936 50837968 50837968 690 690
ipm_global 17 2 4055040 4055040 0 99 0
ipm_global 17 9 665040532 633382948 31657584 34972 1917
ipm_global 17 10 86327296 42622976 43704320 946 979
ipm_global 17 16 3825929112 3239696120 586232992 36096 31734
ipm_global 17 17 9628128 4814064 4814064 498 498
ipm_global 18 2 102035008 53045024 48989984 789 690
ipm_global 18 10 666121876 633382948 32738928 34972 1950
ipm_global 18 16 9561360 4780680 4780680 1102 1102
ipm_global 18 17 3819661012 3236652820 583008192 35968 31606
ipm_global 18 18 9297856 4648928 4648928 498 498
ipm_global 19 2 5046272 5046272 0 121 0
ipm_global 19 3 99354656 49677328 49677328 690 690
ipm_global 19 11 666211988 633382948 32829040 34972 1961
ipm_global 19 16 585595136 292797568 292797568 996 996
ipm_global 19 17 22098688 11049344 11049344 1102 1102
ipm_global 19 18 3820742780 3237685404 583057376 36096 31734
ipm_global 19 19 9370208 4685104 4685104 498 498
ipm_global 20 0 1048576 524288 524288 64 64
ipm_global 20 2 5046272 5046272 0 121 0
